pid	genus	hybrid	author	year	seed	pollen
1#1	AECHMEA	A l'Orange	Stansfield G*	?		recurvata
13288#13288	AECHMEA	Abbey Road	Vinzant  L	circa 2005	chantinii	zebrina
2#2	AECHMEA	Adolph's White	?	?	chantinii	zebrina
3#3	AECHMEA	Adonis	Przetocki V*	ca.1980	chantinii	zebrina
4#4	AECHMEA	Ala Nigra	Hummel	<1970	chantinii	zebrina
5#5	AECHMEA	Alaya	n/a	?	chantinii	zebrina
14147#14147	AECHMEA	Albo-vittata	? / Butcher Derek*	circa ?	chantinii	zebrina
6#6	AECHMEA	Albright Red	n/a	?	chantinii	zebrina
7#7	AECHMEA	Alegria	? / Bullis*	?	chantinii	zebrina
13499#13499	AECHMEA	Alice Springs	Skotak C	1998	aquilega	aquilega
8#8	AECHMEA	Altmanii		<1979	aquilega	aquilega
9#9	AECHMEA	Alvarez	n/a	<1978	lueddemanniana	aquilega
11806#11806	AECHMEA	Alvin	Catlan, John	2008	blanchetiana "red"	blanchetiana "red"
10#10	AECHMEA	Amazonense	(Moore, L.+*)	<1963	blanchetiana "red"	chantinii
11#11	AECHMEA	Amazonia	n/a	<1979	chantinii	chantinii
13395#13395	AECHMEA	America	Bullis P	2005	chantinii	chantinii
12#12	AECHMEA	Amethyst	Baensch, U.	1990	'Blue Beauty'	smithiorum
13#13	AECHMEA	Ametista	Bromeliario Imperialis	?	recurvata	gamosepala
10004#10004	AECHMEA	Andromeda	K. Jacobsson	2006	Snow Flake	carvalhoi
14#14	AECHMEA	Angelica		<1979	Snow Flake	carvalhoi
15#15	AECHMEA	Angra Dos Reis		<1977	Snow Flake	carvalhoi
16#16	AECHMEA	Angulation	Mellica, J.	?	warasii	recurvata
17#17	AECHMEA	Ann Vincent	Vincent, A.	1972	calyculata	caudata
18#18	AECHMEA	Anonymous	Davis, R.	1972	calyculata	caudata
19#19	AECHMEA	Anton	Green M*	1994	haltonii	?
20#20	AECHMEA	Apocalypse Now	? / D Butcher*	1982	apocalyptica	?
13605#13605	AECHMEA	Apricot Torch	Wood, Neville	2007	recurvata	caudata
21#21	AECHMEA	Ares	Gulz (Hummel)	<1970	fulgens var.discolor	distichantha var. glaziovii
22#22	AECHMEA	Armed Spearpoint-Pipin	Hummel	<1976	fulgens var.discolor	distichantha var. glaziovii
23#23	AECHMEA	Arriba	Hummel	<1971	dealbata?	??
24#24	AECHMEA	Ash	Smythe, R.	?	'Forest Fire'	?
25#25	AECHMEA	Ash Blonde	Moore, L.*?	<1975	'Forest Fire'	chantinii
26#26	AECHMEA	Aton	(Gulz)	<1976	fasciata	chantinii
27#27	AECHMEA	Aurora	n/a	<1981	lueddemanniana	chantinii
28#28	AECHMEA	Auslese	n/a	<1980	fasciata	chantinii
14662#14662	AECHMEA	Aussie Maiden	Draper, Ross	2014	tessmannii x retusa	chantinii var. fuchsii
29#29	AECHMEA	Aussie Ruby	? / Derek Butcher*	<1990	seideliana?	?
30#30	AECHMEA	Avarua	McQueen, J.	1982	racinae	recurvata
31#31	AECHMEA	Aztec	Hummel	<1979	racinae	recurvata
32#32	AECHMEA	Aztec Gold	Catlan, N.	1981	racinae	recurvata
33#33	AECHMEA	Azur Nigra	Hummel	<1967	orlandiana?	recurvata
34#34	AECHMEA	Balboa		<1980	bromelifolia	recurvata
35#35	AECHMEA	Ballerina	Gawley, J.	<1983	lueddemanniana	recurvata
36#36	AECHMEA	Bandit	n/a	<1991	lueddemanniana	recurvata v. ortgiesii?
37#37	AECHMEA	Bastantha	Hummel	<1971	lueddemanniana	recurvata v. ortgiesii?
38#38	AECHMEA	Baton	Przetocki, V.	?	nudicaulis 'Albomarginate'	fasciata v. purpurea
39#39	AECHMEA	Beads Of Coral	Goode	1974	Royal Wine	coelestis
13289#13289	AECHMEA	Beatlejuice	Vinzant  L	circa 2005	chantinii	zebrina
40#40	AECHMEA	Belizia	Hummel	<1979	orlandiana	fulgens v. discolor
41#41	AECHMEA	Benny	Hummel	<1976	orlandiana	recurvata v. benrathii?
42#42	AECHMEA	Bert	Foster, M.B.	1945	orlandiana	fosteriana
43#43	AECHMEA	Berticaulis	Williams, K.	1969	Bert	nudicaulis
15826#15826	AECHMEA	Best Black	Skotak, Chester	circa 1990	chantinii	chantinii
44#44	AECHMEA	Betty Pfeuffer	F-J Pfeuffer	1997	recurvata var. recurvata	victoriana var. discolor
45#45	AECHMEA	Bi-Color	Hummel	<1979	recurvata var. recurvata	victoriana var. discolor
15869#15869	AECHMEA	Big Bang	Skotak, Chester / Eloise Beach*	2002	nidularioides	nidularioides
46#46	AECHMEA	Big Beauty	Hick M*	1980\'s	nidularioides	recurvata var. benrathii
47#47	AECHMEA	Big Ben	Goode, G.	1980\'s	nidularioides	recurvata var. benrathii
48#48	AECHMEA	Big Cheese	Hummel	<1984	nidularioides	recurvata var. benrathii
49#49	AECHMEA	Big Harv	(Bullis*)	<1995	eurycorymbus	recurvata var. benrathii
50#50	AECHMEA	Big John	(Anderson, J.), Baskerville*	<1985	eurycorymbus	nudicaulis v. aequalis
51#51	AECHMEA	Big Mama Fasciata	Hill, H.*?	<1996	eurycorymbus	fasciata
52#52	AECHMEA	Big Mama Recurvata	?	<1983	eurycorymbus	recurvata var. ortgiesii
